"keyName","value","prob","cont_prob"
"said",285,0.00551491930802276,0.00551491930802276
"just",283,0.00547621811989628,0.00547621811989628
"one",276,0.00534076396145362,0.00534076396145362
"will",260,0.00503115445644181,0.00503115445644181
"like",236,0.00456674019892411,0.00456674019892411
"get",235,0.00454738960486087,0.00454738960486087
"can",229,0.00443128604048144,0.00443128604048144
"time",206,0.00398622237702697,0.00398622237702697
"now",170,0.00328960099075042,0.00328960099075042
"good",166,0.00321219861449746,0.00321219861449746
"new",162,0.00313479623824451,0.00313479623824451
"know",155,0.00299934207980185,0.00299934207980185
"day",155,0.00299934207980185,0.00299934207980185
"last",145,0.00280583613916947,0.00280583613916947
"love",138,0.00267038198072681,0.00267038198072681
"back",134,0.00259297960447386,0.00259297960447386
"going",132,0.00255427841634738,0.00255427841634738
"people",131,0.00253492782228414,0.00253492782228414
"first",128,0.00247687604009443,0.00247687604009443
"go",127,0.00245752544603119,0.00245752544603119
"make",127,0.00245752544603119,0.00245752544603119
"great",126,0.00243817485196796,0.00243817485196796
"year",124,0.00239947366384148,0.00239947366384148
"think",123,0.00238012306977824,0.00238012306977824
"see",120,0.00232207128758853,0.00232207128758853
"got",113,0.00218661712914586,0.00218661712914586
"two",113,0.00218661712914586,0.00218661712914586
"also",111,0.00214791594101939,0.00214791594101939
"way",109,0.00210921475289291,0.00210921475289291
"thanks",106,0.0020511629707032,0.0020511629707032
"today",104,0.00201246178257673,0.00201246178257673
"well",102,0.00197376059445025,0.00197376059445025
"many",102,0.00197376059445025,0.00197376059445025
"want",101,0.00195441000038701,0.00195441000038701
"us",100,0.00193505940632377,0.00193505940632377
"much",98,0.0018963582181973,0.0018963582181973
"right",97,0.00187700762413406,0.00187700762413406
"even",91,0.00176090405975463,0.00176090405975463
"work",91,0.00176090405975463,0.00176090405975463
"take",90,0.0017415534656914,0.0017415534656914
"really",87,0.00168350168350168,0.00168350168350168
"need",86,0.00166415108943845,0.00166415108943845
"rt",84,0.00162544990131197,0.00162544990131197
"still",82,0.00158674871318549,0.00158674871318549
"night",81,0.00156739811912226,0.00156739811912226
"never",80,0.00154804752505902,0.00154804752505902
"u",78,0.00150934633693254,0.00150934633693254
"life",77,0.00148999574286931,0.00148999574286931
"come",77,0.00148999574286931,0.00148999574286931
"little",76,0.00147064514880607,0.00147064514880607
"always",73,0.00141259336661636,0.00141259336661636
"look",72,0.00139324277255312,0.00139324277255312
"something",71,0.00137389217848988,0.00137389217848988
"show",71,0.00137389217848988,0.00137389217848988
"school",71,0.00137389217848988,0.00137389217848988
"years",70,0.00135454158442664,0.00135454158442664
"long",70,0.00135454158442664,0.00135454158442664
"home",70,0.00135454158442664,0.00135454158442664
"made",69,0.0013351909903634,0.0013351909903634
"ever",69,0.0013351909903634,0.0013351909903634
"best",69,0.0013351909903634,0.0013351909903634
"say",68,0.00131584039630017,0.00131584039630017
"game",68,0.00131584039630017,0.00131584039630017
"next",67,0.00129648980223693,0.00129648980223693
"week",67,0.00129648980223693,0.00129648980223693
"high",65,0.00125778861411045,0.00125778861411045
"things",64,0.00123843802004722,0.00123843802004722
"may",64,0.00123843802004722,0.00123843802004722
"happy",64,0.00123843802004722,0.00123843802004722
"man",63,0.00121908742598398,0.00121908742598398
"another",63,0.00121908742598398,0.00121908742598398
"hope",62,0.00119973683192074,0.00119973683192074
"lol",61,0.0011803862378575,0.0011803862378575
"state",60,0.00116103564379426,0.00116103564379426
"big",58,0.00112233445566779,0.00112233445566779
"thank",57,0.00110298386160455,0.00110298386160455
"thing",57,0.00110298386160455,0.00110298386160455
"world",56,0.00108363326754131,0.00108363326754131
"better",56,0.00108363326754131,0.00108363326754131
"lot",56,0.00108363326754131,0.00108363326754131
"three",56,0.00108363326754131,0.00108363326754131
"let",55,0.00106428267347808,0.00106428267347808
"tonight",55,0.00106428267347808,0.00106428267347808
"s",54,0.00104493207941484,0.00104493207941484
"place",52,0.00100623089128836,0.00100623089128836
"give",52,0.00100623089128836,0.00100623089128836
"help",52,0.00100623089128836,0.00100623089128836
"put",52,0.00100623089128836,0.00100623089128836
"used",52,0.00100623089128836,0.00100623089128836
"sure",51,0.000986880297225125,0.000986880297225125
"money",51,0.000986880297225125,0.000986880297225125
"second",51,0.000986880297225125,0.000986880297225125
"team",51,0.000986880297225125,0.000986880297225125
"someone",51,0.000986880297225125,0.000986880297225125
"around",51,0.000986880297225125,0.000986880297225125
"hard",50,0.000967529703161887,0.000967529703161887
"use",50,0.000967529703161887,0.000967529703161887
"days",50,0.000967529703161887,0.000967529703161887
"live",50,0.000967529703161887,0.000967529703161887
"please",48,0.000928828515035412,0.000928828515035412
"find",48,0.000928828515035412,0.000928828515035412
"since",48,0.000928828515035412,0.000928828515035412
"took",48,0.000928828515035412,0.000928828515035412
"family",48,0.000928828515035412,0.000928828515035412
"every",47,0.000909477920972174,0.000909477920972174
"getting",46,0.000890127326908936,0.000890127326908936
"anything",46,0.000890127326908936,0.000890127326908936
"bad",46,0.000890127326908936,0.000890127326908936
"follow",46,0.000890127326908936,0.000890127326908936
"old",46,0.000890127326908936,0.000890127326908936
"working",46,0.000890127326908936,0.000890127326908936
"house",45,0.000870776732845698,0.000870776732845698
"away",45,0.000870776732845698,0.000870776732845698
"book",45,0.000870776732845698,0.000870776732845698
"feel",45,0.000870776732845698,0.000870776732845698
"must",45,0.000870776732845698,0.000870776732845698
"start",45,0.000870776732845698,0.000870776732845698
"keep",45,0.000870776732845698,0.000870776732845698
"free",44,0.000851426138782461,0.000851426138782461
"making",43,0.000832075544719223,0.000832075544719223
